8,7,9,9,7,10,15,13,12,27,8,26,5,33,2,32,3,41,1,28,0,21,0,23,0,22,0,33,0,30,0,35,0,25,0,17,0,21,0,22,3,13,4,15,1,9,0,15,0,15,0,14,0,25,0,9,0,13,2,24,4,18,4,24,9,16,10,32,12,27,18,16,4,38,8,18,5,13,10,16,9,25,14,44,8,39,12,53,18,43,25,46,17,31,16,32,7,46,4,48,12,31,18,33,10,27,2,22,4,19,12,21,12,25,10,24,11,26,22,24,18,14,8,12,13,14,6,16,11,24,4,28,7,24,1,24,16,17,18,19,18,31,22,47,17,25,20,32,10,26,6,27,5,34,9,43,7,20,6,27,3,30,9,41,4,52,20,43,13,22,17,17,13,32,16,29,11,16,9,23,6,20,17,14,19,27,41,21,47,31,42,29,20,22,11,26,22,28,19,29,27,26,27,22,29,25,36,22,39,15,31,22,32,17,31,22,23,29,27,30,20,26,17,5,21,8,19,8,23,11,22,9,15,22,24,19,32,19,28,17,31,24,25,23,33,11,23,11,15,11,14,13,12,29,13,39,26,25,22,16,28,16,39,14,21,7,34,5,37,3,35,1,32,4,35,14,23,12,14,11,12,9,17,7,10,22,14,20,4,31,4,15,7,13,7,11,11,16,7,5
9,13,2,5,13,10,13,10,16,8,31,6,22,4,34,2,49,1,35,0,32,0,32,0,39,0,35,0,29,0,39,0,25,0,25,0,16,0,27,2,19,3,17,0,13,0,17,0,19,1,16,0,16,0,24,0,15,0,19,7,24,4,19,9,33,7,23,12,42,20,23,6,30,10,31,6,18,6,16,11,18,11,25,13,29,10,41,18,36,36,50,17,18,10,31,13,31,6,36,11,30,20,34,15,29,8,23,2,17,6,20,9,19,5,24,14,22,10,31,17,16,10,18,9,13,8,17,15,20,7,34,9,28,8,22,6,16,27,13,15,21,23,53,20,33,18,26,19,31,9,17,10,24,16,36,8,30,6,29,5,17,3,46,9,46,10,39,18,29,15,13,9,34,17,31,14,35,11,21,11,21,19,20,19,22,35,27,52,22,49,32,31,28,21,15,15,29,22,24,21,26,25,19,29,22,36,25,28,15,31,15,28,25,28,27,23,28,26,22,24,18,13,14,16,4,34,14,26,10,24,7,18,11,21,19,26,23,27,15,25,9,27,14,35,18,28,12,8,9,20,5,11,20,7,29,22,30,38,22,28,15,34,11,28,10,33,4,35,3,35,1,40,4,42,6,11,11,12,11,16,10,17,4,15,15,12,29,8,21,10,24,13,10,10,17,10,13,6,6,4
3,4,13,9,2,20,6,23,7,28,10,19,4,33,4,36,1,58,2,44,0,42,0,46,0,38,0,32,0,32,0,36,0,24,0,30,0,18,0,29,1,22,0,14,0,17,0,16,2,15,1,21,0,20,0,29,0,19,6,20,8,17,9,29,5,24,10,34,15,27,12,23,12,26,5,26,6,17,4,14,11,24,11,20,15,28,20,34,28,38,29,31,11,25,11,40,6,31,11,20,22,28,12,32,5,26,5,16,4,20,6,23,4,26,7,27,18,31,14,25,12,22,7,13,6,17,14,15,13,32,8,29,11,18,9,22,18,17,27,18,20,50,21,43,21,34,13,24,11,33,19,25,18,25,11,37,3,24,8,24,3,33,1,50,16,42,13,47,15,25,13,21,8,27,11,48,8,38,9,13,17,22,16,19,19,33,48,31,52,26,45,31,26,24,18,13,27,22,25,18,29,13,20,19,29,19,27,15,29,19,28,22,30,28,33,25,23,20,18,15,13,14,17,7,32,10,35,13,25,9,19,10,25,16,19,11,22,14,23,10,25,6,25,12,28,13,17,8,12,10,18,9,10,19,22,22,43,23,22,18,42,18,27,11,30,3,43,1,38,4,34,5,35,3,31,7,10,16,12,9,16,9,15,14,11,32,14,32,6,20,16,18,17,16,9,20,10,5,2,5
6,5,11,5,11,2,26,7,26,5,30,7,29,4,32,1,38,3,60,1,42,0,45,0,47,0,24,0,22,0,33,0,27,0,38,0,35,0,28,0,26,0,16,0,12,0,11,1,14,2,28,1,20,1,26,2,25,4,18,10,17,5,16,9,22,10,32,12,29,13,20,15,26,4,28,3,27,4,19,10,28,9,21,10,18,20,28,22,32,30,40,17,29,11,27,9,34,8,27,13,18,22,34,2,24,13,21,7,16,8,20,4,22,11,27,23,26,14,28,17,26,13,20,8,17,10,14,19,24,11,22,11,23,14,23,12,24,34,23,20,29,26,41,13,33,11,26,7,29,16,36,19,34,13,40,5,24,14,19,3,35,3,35,6,37,12,44,12,44,15,25,8,32,8,30,12,44,6,29,12,20,17,21,14,27,31,30,40,26,48,22,29,29,25,26,24,15,31,18,29,10,26,10,25,20,21,10,13,15,38,30,22,21,37,23,33,22,23,13,15,21,22,10,22,10,39,10,25,14,39,13,21,11,25,14,14,10,17,16,14,5,21,16,24,15,20,10,15,13,16,15,13,14,23,14,41,16,35,16,36,20,43,16,32,7,44,5,34,1,42,14,24,9,38,5,18,9,9,16,11,15,8,17,9,18,10,39,11,26,10,18,8,17,14,19,8,12,6,2,4
5,7,8,13,3,13,4,18,2,35,7,34,5,29,4,27,1,44,2,48,0,34,0,54,0,26,0,26,0,28,0,34,0,30,0,41,0,36,0,24,0,20,0,16,0,11,0,11,1,22,8,32,3,32,3,28,5,20,11,28,4,18,4,12,10,35,12,36,8,29,9,27,13,36,3,28,6,25,6,29,9,32,12,26,11,30,27,32,23,29,15,36,12,24,13,24,9,24,11,24,13,29,10,31,17,28,17,19,9,24,10,18,7,21,17,18,23,23,12,43,14,24,17,15,10,11,22,26,24,19,4,17,14,32,18,26,21,30,23,33,30,34,13,28,7,24,12,19,10,41,16,49,18,38,7,30,14,16,11,27,6,22,4,29,5,32,12,36,12,26,6,23,9,31,9,25,14,24,12,28,10,25,22,26,26,28,38,32,42,17,31,24,30,27,26,18,26,14,26,10,19,6,19,19,28,8,12,14,35,16,24,33,27,19,34,24,20,20,24,19,27,20,26,10,40,19,26,11,39,10,38,11,31,8,21,10,10,10,10,8,18,15,30,31,21,15,13,7,17,16,18,19,14,15,37,10,47,15,26,15,57,13,40,20,41,11,32,5,42,14,30,15,36,13,22,11,19,18,12,16,11,16,8,12,8,29,14,23,9,17,6,16,12,10,10,12,6,11,13,11
15,11,12,7,12,2,15,3,26,0,32,8,25,8,24,2,27,2,54,0,33,0,27,0,40,0,23,0,31,0,39,0,28,0,21,0,35,0,22,0,24,0,18,0,21,0,15,1,14,6,35,6,40,8,36,4,29,10,28,9,20,7,16,7,25,10,34,9,30,6,31,11,47,9,37,1,18,7,37,7,33,14,35,16,27,23,37,26,24,11,21,12,35,9,36,10,15,9,18,13,39,9,32,19,29,21,36,16,28,18,33,10,18,10,18,11,22,12,43,18,31,18,22,17,8,16,11,29,26,16,16,15,25,16,24,15,29,25,31,21,32,16,43,10,25,15,25,12,29,4,41,8,31,19,31,10,28,4,27,10,18,6,24,4,26,9,26,9,31,12,19,7,27,6,23,16,20,18,24,10,17,19,26,29,19,32,34,43,25,32,26,34,19,41,16,24,12,25,13,21,10,13,14,17,14,22,10,34,16,29,22,33,25,29,16,18,28,21,24,32,19,33,11,38,19,36,14,30,9,35,15,51,6,29,14,18,13,14,5,16,10,34,23,28,29,19,8,12,9,15,15,13,18,19,13,34,10,32,10,39,15,59,17,38,17,42,6,48,11,35,16,33,11,30,13,26,8,19,19,11,14,8,11,8,17,15,18,17,17,9,12,6,7,11,9,11,9,15,18,18
15,25,15,20,2,19,4,20,0,26,0,21,6,22,6,21,5,42,0,40,0,29,0,25,0,24,0,23,0,31,0,24,0,22,0,24,0,25,0,31,0,21,0,21,0,18,1,23,5,30,3,37,7,41,5,25,12,23,9,20,15,19,4,19,11,23,5,25,4,23,9,31,8,47,3,41,3,21,9,41,10,27,17,36,25,24,21,29,22,15,14,22,8,40,2,42,7,22,5,21,15,38,15,41,17,39,21,37,18,35,14,29,12,16,6,24,10,35,17,35,11,26,17,17,12,14,17,21,36,23,32,21,13,24,18,27,28,26,20,31,20,41,8,43,11,32,17,30,10,23,1,28,8,29,9,29,3,32,6,24,6,30,2,26,12,20,8,27,15,22,10,31,3,20,14,19,16,17,21,13,17,17,27,28,25,24,35,23,45,23,38,22,51,17,36,9,30,15,24,16,16,13,15,13,17,17,32,12,27,17,36,23,41,21,24,14,17,32,31,21,34,24,32,17,38,12,32,9,31,19,52,8,36,14,22,20,20,18,18,10,19,15,38,15,23,20,14,6,12,4,17,17,11,13,21,12,27,6,33,11,35,11,39,12,30,2,51,8,54,6,42,12,35,7,37,5,13,6,16,14,9,17,6,21,16,10,21,19,15,12,8,9,14,6,10,13,11,17,23,21
27,22,22,6,24,5,30,1,25,2,28,0,19,6,25,4,18,5,39,0,38,0,23,0,19,0,21,0,28,0,28,0,24,0,24,0,26,0,35,0,28,0,22,0,14,0,22,3,29,6,34,3,33,8,18,6,28,16,22,10,15,5,16,4,19,8,24,3,14,6,27,15,43,11,48,4,36,8,37,13,31,9,35,15,36,25,31,24,22,21,23,7,34,2,43,5,38,5,22,8,38,13,33,11,38,14,34,10,37,10,27,16,24,5,14,10,33,10,26,11,34,9,24,16,17,10,23,24,18,48,29,25,27,17,32,31,26,20,30,25,29,17,32,7,47,18,33,12,31,9,34,3,35,10,31,2,28,4,21,5,23,3,27,5,22,10,30,9,16,11,29,14,22,12,22,15,16,13,10,21,12,11,24,27,33,23,23,42,33,42,21,45,15,47,12,33,18,35,14,28,11,25,11,14,18,15,19,32,21,27,15,41,19,36,23,21,20,27,34,17,23,36,21,25,15,28,9,24,14,32,12,40,10,23,19,20,30,17,12,16,18,25,13,25,17,14,6,7,2,14,6,16,11,18,6,25,7,27,7,23,8,19,7,21,6,35,2,51,5,48,3,29,5,29,6,21,5,9,4,11,18,10,22,21,10,21,14,19,15,5,13,17,13,12,21,5,14,15,13,18
16,27,13,26,12,38,5,30,5,25,3,27,4,21,4,18,2,25,2,35,0,22,0,18,1,27,0,22,0,36,0,31,0,28,0,26,0,42,0,39,0,23,0,19,0,17,2,30,1,29,5,34,4,31,5,20,11,26,8,17,2,13,3,19,4,23,5,16,3,12,12,33,16,49,8,37,7,43,10,31,5,36,12,39,12,33,31,30,17,18,12,37,2,36,6,36,1,31,3,30,10,40,8,24,8,36,11,32,4,35,10,25,12,18,5,18,5,22,9,32,7,30,15,18,19,25,14,24,25,21,33,38,22,26,19,29,41,24,18,26,21,23,13,25,17,22,15,42,7,36,5,37,6,44,5,25,3,24,4,31,4,17,5,22,3,21,7,23,5,19,19,27,15,21,12,25,14,20,16,8,11,21,9,27,26,27,26,33,28,26,46,16,42,12,36,17,38,21,37,18,37,12,17,17,16,20,16,26,34,21,39,16,31,20,23,18,23,27,21,30,23,19,23,18,19,15,18,21,22,15,21,8,25,12,21,24,19,23,22,16,20,18,19,11,10,13,9,4,12,3,17,3,17,8,20,7,20,6,26,7,20,10,15,6,28,3,47,6,38,2,34,3,18,3,16,6,14,4,8,9,10,16,16,8,24,9,18,14,4,13,5,20,9,24,6,15,7,8,19,19
30,10,32,11,36,10,39,4,29,8,33,7,28,7,27,5,27,1,33,1,24,2,17,3,25,0,26,0,33,0,37,0,34,0,31,0,32,0,50,0,31,0,28,0,24,0,28,1,35,3,46,1,31,3,35,4,22,7,22,2,9,0,13,2,31,9,23,8,16,14,20,15,36,6,26,7,30,3,42,7,43,4,31,7,34,18,20,8,26,11,19,5,37,5,29,2,37,3,29,3,30,9,26,6,33,8,29,6,31,5,28,11,25,9,28,8,8,5,22,8,27,12,21,21,20,25,38,19,21,16,29,16,35,25,30,29,19,32,24,17,21,17,21,16,18,20,27,7,42,2,41,7,39,7,46,4,34,3,35,3,23,6,18,2,16,8,23,7,19,11,19,13,22,7,17,14,28,16,18,12,13,11,24,14,19,18,34,27,24,40,26,38,9,38,11,27,27,35,26,39,32,29,27,19,17,22,30,30,28,41,21,31,22,19,16,21,22,21,18,21,25,25,15,18,17,15,18,18,23,20,9,24,5,9,25,25,31,23,21,21,14,19,16,13,12,9,10,11,5,21,2,27,10,25,6,16,11,25,8,17,7,19,12,23,5,52,5,38,6,25,3,25,3,13,5,9,5,14,4,8,11,14,7,12,11,13,16,7,20,7,12,3,19,4,19,11,7,4,15,16
